text,category,urgency
Медленная работа системы при работе с длинными отчетами,Ухудшение сервиса,Низкий
Не работает автопереводчик в корпоративном чате,Сбой приложения,Низкий
Короткое замыкание в блоке розеток под столом,Аппаратный сбой,Низкий
Рассылка фишинговых писем от имени службы технической поддержки,Нарушение безопасности,Средний
Потеря пакетов при потоковой передаче видео с камер наблюдения,Ухудшение сервиса,Средний
Сбой в системе управления программой лояльности,Сбой приложения,Средний
Отказ датчика задымленности в серверной,Аппаратный сбой,Высокий
Создание фейковых задач в системе управления проектами,Нарушение безопасности,Низкий
Не обновляются курсы акций на финансовом портале,Сбой приложения,Низкий
Потеря связи с удаленными датчиками температуры на складе,Потеря связи,Средний
Сбой в системе управления полиграфическим оборудованием,Сбой приложения,Высокий
Выход из строя интерфейсной платы сетевого хранилища,Аппаратный сбой,Средний
Атака на систему управления уличным освещением (для муниципалитета),Нарушение безопасности,Средний
Долгая загрузка панорамных изображений на сайте недвижимости,Ухудшение сервиса,Низкий
Не работает система проведения опросов сотрудников,Сбой приложения,Низкий
Перегрев патч-панели из-за плохой вентиляции,Аппаратный сбой,Низкий
Утечка данных о НИОКР через уязвимость в системе совместной работы,Нарушение безопасности,Высокий
Не работает система управления архитектурой предприятия,Сбой приложения,Низкий
Случайное блокирование легитимного трафика межсетевым экраном,Ухудшение сервиса,Высокий
Не загружаются аватары пользователей в корпоративной соцсети,Сбой приложения,Низкий
Выход из строя системы контроля вибраций в серверной стойке,Аппаратный сбой,Низкий
Обнаружение keylogger на ПК финансового директора,Нарушение безопасности,Высокий
Зависание системы при попытке экспорта большого объема данных,Ухудшение сервиса,Средний
Не работает система управления сервисными запросами,Сбой приложения,Средний
Отказ системы тестового оповещения (не повлияло на рабочее),Аппаратный сбой,Низкий
Фишинг с целью получения доступа к системе управления стейкхолдерами,Нарушение безопасности,Средний
Не работает система расчета транспортного налога для автопарка,Сбой приложения,Средний
Потеря пакетов в сети при передаче данных телеметрии,Ухудшение сервиса,Средний
Сбой в системе управления дизайн-проектами,Сбой приложения,Средний
Выход из строя модема спутниковой связи для удаленного объекта,Аппаратный сбой,Высокий
Несанкционированное изменение скриптов развертывания,Нарушение безопасности,Высокий
Не обновляется статус оборудования в системе мониторинга,Ухудшение сервиса,Средний
Не работает система проверки грамматики,Сбой приложения,Низкий
Поддельные заявки в систему технической поддержки,Нарушение безопасности,Низкий
Задержка в получении данных от метеостанции для логистики,Ухудшение сервиса,Средний
Сбой в системе управления арендой оборудования,Сбой приложения,Средний
Выход из строя системы фоновой музыки в офисе,Аппаратный сбой,Низкий
Утечка шаблонов договоров через публичный облачный сервис,Нарушение безопасности,Средний
Не работает система управления отчетами о командировках,Сбой приложения,Средний
Зависание компьютера при запуске специфического legacy-ПО,Ухудшение сервиса,Низкий
Сбой в системе управления розничными точками,Сбой приложения,Высокий
Отказ системы мониторинга уровня CO2 в переговорных комнатах,Аппаратный сбой,Низкий
Атака на систему управления очередью в колл-центре,Нарушение безопасности,Средний
Не работает система расчета KPI сотрудников,Сбой приложения,Средний
Потеря связи с системой управления сельскохозяйственной техникой,Потеря связи,Высокий
Сбой в работе системы управления благотворительными программами,Сбой приложения,Низкий
Выход из строя ИБП для системы контроля доступа,Аппаратный сбой,Средний
Утечка данных о внутренних расследованиях,Нарушение безопасности,Высокий
Не работает система управления корпоративными коммуникациями,Сбой приложения,Низкий
Задержка в отображении данных на дашборде аналитики,Ухудшение сервиса,Средний
Сбой в системе управления политиками информационной безопасности,Сбой приложения,Высокий
Выход из строя системы очистки воды для охлаждения,Аппаратный сбой,Высокий
Обнаружение уязвимости в системе управления пресс-релизами,Нарушение безопасности,Средний
Не работает система управления архивом документов,Сбой приложения,Средний
Случайное удаление пользовательских настроек в ERP,Ухудшение сервиса,Низкий
Не загружаются превью видеофайлов в медиатеке,Сбой приложения,Низкий
Отказ ленточного накопителя при восстановлении из резервной копии,Аппаратный сбой,Высокий
Компрометация аккаунта службы поддержки в Twitter,Нарушение безопасности,Средний
Не работает система управления портфолио проектов,Сбой приложения,Низкий
Потеря связи с системой управления рекламными баннерами,Потеря связи,Средний
Сбой в системе управления воздушным движением (для аэропорта),Сбой приложения,Высокий
Выход из строя системы фреонового охлаждения,Аппаратный сбой,Высокий
Утечка данных о слияниях и поглощениях,Нарушение безопасности,Высокий
Не работает система управления корпоративными знаниями,Сбой приложения,Низкий
Зависание системы при построении сложных диаграмм,Ухудшение сервиса,Низкий
Сбой в системе управления дистрибьюцией контента,Сбой приложения,Высокий
Отказ системы контроля уровня радиации (для мед. учреждения),Аппаратный сбой,Высокий
Атака на систему управления данными клинических испытаний,Нарушение безопасности,Высокий
Не работает система учета рабочего времени удаленных сотрудников,Сбой приложения,Средний
Потеря связи с системой управления дронами,Потеря связи,Высокий
Сбой в системе управления выставочными образцами,Сбой приложения,Средний
Выход из строя системы чиллер-фанкойл для охлаждения,Аппаратный сбой,Высокий
Несанкционированный доступ к системе управления фискальными данными,Нарушение безопасности,Высокий
Не работает система управления библиотекой медиаматериалов,Сбой приложения,Низкий
Задержка в обработке данных геолокации для служб доставки,Ухудшение сервиса,Высокий
Сбой в системе управления рекламными рассылками,Сбой приложения,Средний
Выход из строя системы контроля доступа по радужной оболочке глаза,Аппаратный сбой,Средний
Утечка данных о кадровом резерве,Нарушение безопасности,Средний
Не работает система управления стейкхолдерами проекта,Сбой приложения,Низкий
Случайное изменение реестра Windows на группе компьютеров,Ухудшение сервиса,Средний
Не загружаются текстуры в CAD-системе,Сбой приложения,Низкий
Отказ датчика уровня масла в дизель-генераторе,Аппаратный сбой,Высокий
Фишинг с использованием поддельного мобильного приложения компании,Нарушение безопасности,Высокий
Не работает система управления инновационными предложениями,Сбой приложения,Низкий
Потеря связи с системой управления шлюзами (для судоходства),Потеря связи,Высокий
Сбой в системе управления телематикой для транспорта,Сбой приложения,Высокий
Выход из строя системы аварийной вентиляции,Аппаратный сбой,Высокий
Утечка данных пользователей через API стороннего сервиса,Нарушение безопасности,Высокий
Не работает система управления корпоративной культурой,Сбой приложения,Низкий
Зависание системы при одновременной работе с 3D-моделями,Ухудшение сервиса,Средний
Не работает кнопка "Нравится" на внутреннем портале,Сбой приложения,Низкий
Отказ системы контроля статического электричества в чистых комнатах,Аппаратный сбой,Низкий
Перехват Bluetooth-соединения периферийных устройств,Нарушение безопасности,Средний
Ошибка в алгоритме распределения заявок по менеджерам,Сбой приложения,Средний
Мерцание экранов на некоторых мониторах,Ухудшение сервиса,Низкий
Сбой модуля управления корпоративными скидками,Сбой приложения,Средний
Деградация памяти ECC на серверах,Аппаратный сбой,Высокий
Утечка данных о переговорах через уязвимость в системе видеоконференций,Нарушение безопасности,Высокий
Рассинхронизация данных между кэшами различных уровней,Ухудшение сервиса,Средний
Не работает система учета канцелярских принадлежностей,Сбой приложения,Низкий
Обрыв волокна из-за действий грызунов,Потеря связи,Средний
Сбой в системе управления промышленными 3D-принтерами,Сбой приложения,Высокий
Выход из строя системы осушения воздуха в архиве серверной,Аппаратный сбой,Средний
Поддельные push-уведомления на корпоративных мобильных устройствах,Нарушение безопасности,Средний
Медленная работа системы при генерации сложных SQL-отчетов,Ухудшение сервиса,Средний
Не работает система автоматической расстановки переносов в документах,Сбой приложения,Низкий
Окисление контактов в сетевых разъемах,Аппаратный сбой,Низкий
Рассылка фишинговых писем с поддельными уведомлениями о блокировке учетной записи,Нарушение безопасности,Средний
Потеря пакетов при передаче данных с датчиков вибрации оборудования,Ухудшение сервиса,Средний
Сбой в системе управления программами стажировок,Сбой приложения,Низкий
Отказ датчика давления в системе газового пожаротушения,Аппаратный сбой,Высокий
Создание фейковых заказов в системе интернет-магазина,Нарушение безопасности,Средний
Не обновляются данные о пробках в логистической системе,Сбой приложения,Низкий
Потеря связи с системами управления ирригацией (для сельского хозяйства),Потеря связи,Высокий
Сбой в системе управления лифтовым хозяйством,Сбой приложения,Средний
Выход из строя контроллера системы бесперебойного питания,Аппаратный сбой,Высокий
Атака на систему управления уличными камерами наблюдения,Нарушение безопасности,Средний
Долгая загрузка 360° видео в системе виртуальных туров,Ухудшение сервиса,Низкий
Не работает система сбора предложений по улучшению процессов,Сбой приложения,Низкий
Перегрев сетевых кабелей в неправильно проложенных каналах,Аппаратный сбой,Низкий
Утечка данных о патентных заявках через взломанную систему документооборота,Нарушение безопасности,Высокий
Не работает система управления метаданными,Сбой приложения,Низкий
Случайное применение ошибочных групповых политик в Active Directory,Ухудшение сервиса,Высокий
Не загружаются пользовательские темы оформления в интерфейсе,Сбой приложения,Низкий
Выход из строя системы контроля уровня электромагнитных помех,Аппаратный сбой,Низкий
Обнаружение скрипта для майнинга на веб-сервере,Нарушение безопасности,Средний
Зависание системы при обработке сложных математических вычислений,Ухудшение сервиса,Средний
Не работает система управления сертификатами соответствия,Сбой приложения,Средний
Отказ тестовой системы аварийной сигнализации (ложное срабатывание),Аппаратный сбой,Низкий
Фишинг с целью получения доступа к системе управления инцидентами,Нарушение безопасности,Высокий
Не работает система расчета амортизации оборудования,Сбой приложения,Средний
Потеря пакетов при передаче голоса в радиосвязи,Ухудшение сервиса,Средний
Сбой в системе управления дизайнерскими макетами,Сбой приложения,Средний
Выход из строя модема для резервного спутникового интернета,Аппаратный сбой,Высокий
Несанкционированное изменение конфигурации балансировщиков нагрузки,Нарушение безопасности,Высокий
Не обновляется статус ремонта оборудования в системе учета,Ухудшение сервиса,Низкий
Не работает система проверки уникальности контента,Сбой приложения,Низкий
Поддельные заявки на отпуск в системе кадрового учета,Нарушение безопасности,Низкий
Задержка в получении данных с метеорологических радаров,Ухудшение сервиса,Средний
Сбой в системе управления прокатом оборудования,Сбой приложения,Средний
Выход из строя системы фонового оповещения в офисе,Аппаратный сбой,Низкий
Утечка шаблонов презентаций через публичный файлообменник,Нарушение безопасности,Низкий
Не работает система управления отчетами о производительности,Сбой приложения,Средний
Зависание компьютера при подключении к определенным сетевым принтерам,Ухудшение сервиса,Низкий
Сбой в системе управления сетью филиалов,Сбой приложения,Высокий
Отказ системы мониторинга качества воздуха в серверной,Аппаратный сбой,Низкий
Атака на систему управления расписанием транспорта,Нарушение безопасности,Средний
Не работает система расчета бонусов по итогам года,Сбой приложения,Средний
Потеря связи с системой управления аквапарком (для развлекательного центра),Потеря связи,Высокий
Сбой в работе системы управления волонтерскими программами,Сбой приложения,Низкий
Выход из строя ИБП для системы видеонаблюдения,Аппаратный сбой,Средний
Утечка данных о внутренних аудитах,Нарушение безопасности,Высокий
Не работает система управления внутренними рассылками,Сбой приложения,Низкий
Задержка в отображении данных в системе бизнес-аналитики,Ухудшение сервиса,Средний
Сбой в системе управления политиками резервного копирования,Сбой приложения,Высокий
Выход из строя системы очистки теплообменников,Аппаратный сбой,Высокий
Обнаружение уязвимости в системе управления отзывами,Нарушение безопасности,Средний
Не работает система управления архивом прессы,Сбой приложения,Низкий
Случайное удаление пользовательских фильтров в CRM,Ухудшение сервиса,Низкий
Не загружаются превью аудиофайлов в медиатеке,Сбой приложения,Низкий
Отказ системы автоматической смены ленты в стриммере,Аппаратный сбой,Средний
Компрометация аккаунта компании в Instagram,Нарушение безопасности,Средний
Не работает система управления портфелем ценных бумаг,Сбой приложения,Высокий
Потеря связи с системой управления рекламой на транспорте,Потеря связи,Средний
Сбой в системе управления железнодорожными перевозками,Сбой приложения,Высокий
Выход из строя системы градирен для охлаждения,Аппаратный сбой,Высокий
Утечка данных о предстоящем ребрендинге,Нарушение безопасности,Высокий
Не работает система управления знаниями о продукте,Сбой приложения,Низкий
Зависание системы при рендеринге сложных сцен,Ухудшение сервиса,Средний
Сбой в системе управления распределением товаров по магазинам,Сбой приложения,Высокий
Отказ системы контроля уровня шума в производственных цехах,Аппаратный сбой,Низкий
Атака на систему управления медицинскими изображениями (PACS),Нарушение безопасности,Высокий
Не работает система учета рабочего времени по гибкому графику,Сбой приложения,Средний
Потеря связи с системой управления беспилотными такси,Потеря связи,Высокий
Сбой в системе управления музейными экспонатами,Сбой приложения,Средний
Выход из строя системы чиллера с воздушным охлаждением,Аппаратный сбой,Высокий
Несанкционированный доступ к системе управления налоговой отчетностью,Нарушение безопасности,Высокий
Не работает система управления библиотекой кода,Сбой приложения,Средний
Задержка в обработке данных с касс терминалов в реальном времени,Ухудшение сервиса,Высокий
Сбой в системе управления email-маркетингом,Сбой приложения,Средний
Выход из строя системы контроля доступа по геолокации,Аппаратный сбой,Средний
Утечка данных о кадровых перестановках,Нарушение безопасности,Средний
Не работает система управления стейкхолдерами продукта,Сбой приложения,Низкий
Случайное изменение настроек DNS на роутерах,Ухудшение сервиса,Высокий
Не загружаются плагины в IDE разработчиков,Сбой приложения,Средний
Отказ датчика уровня топлива в резервном генераторе,Аппаратный сбой,Высокий
Фишинг с использованием поддельных сертификатов безопасности,Нарушение безопасности,Высокий
Не работает система управления инновациями в процессах,Сбой приложения,Низкий
Потеря связи с системой управления шлюзами в аэропорту,Потеря связи,Высокий
Сбой в системе управления телеметрией гоночных автомобилей,Сбой приложения,Высокий
Выход из строя системы аварийного дымоудаления,Аппаратный сбой,Высокий
Утечка данных пользователей через уязвимость в мобильном SDK,Нарушение безопасности,Высокий
Не работает система управления корпоративными ценностями,Сбой приложения,Низкий
Зависание системы при работе с базами данных в памяти,Ухудшение сервиса,Высокий
Не работает кнопка "Поделиться экраном" в клиенте для видеоконференций,Сбой приложения,Низкий
Отказ системы контроля микроклимата в помещении с архивом,Аппаратный сбой,Низкий
Перехват данных с RFID-пропусков сотрудников,Нарушение безопасности,Средний
Ошибка в алгоритме прогнозирования продаж,Сбой приложения,Средний
Искажение цветопередачи на мониторах графических дизайнеров,Ухудшение сервиса,Средний
Сбой модуля управления корпоративными мероприятиями,Сбой приложения,Низкий
Деградация SSD-накопителей на серверах виртуализации,Аппаратный сбой,Высокий
Утечка данных о стратегических закупках через уязвимость в системе тендеров,Нарушение безопасности,Высокий
Рассинхронизация реплик распределенной базы данных,Ухудшение сервиса,Высокий
Не работает система учета расхода материалов,Сбой приложения,Средний
Обрыв волокна из-за падения дерева во время урагана,Потеря связи,Высокий
Сбой в системе управления системой "умный дом" в офисе,Сбой приложения,Низкий
Выход из строя системы контроля чистоты воздуха в лаборатории,Аппаратный сбой,Средний
Поддельные SMS с кодом двухфакторной аутентификации,Нарушение безопасности,Высокий
Медленная работа системы при обработке больших JSON-файлов,Ухудшение сервиса,Средний
Не работает система автоматического резервирования переговорных комнат,Сбой приложения,Низкий
Коррозия контактов в кроссировочной панели,Аппаратный сбой,Средний
Рассылка фишинговых писем с поддельными счетами на оплату,Нарушение безопасности,Средний
Потеря пакетов при передаче данных телеметрии с ветрогенераторов,Ухудшение сервиса,Средний
Сбой в системе управления программами обучения,Сбой приложения,Средний
Отказ датчика протечки воды под фальшполом серверной,Аппаратный сбой,Высокий
Создание фейковых учетных записей в системе бронирования,Нарушение безопасности,Средний
Не обновляются котировки криптовалют на финансовом портале,Сбой приложения,Низкий
Потеря связи с системой управления освещением в умном городе,Потеря связи,Средний
Сбой в системе управления эскалаторами,Сбой приложения,Средний
Выход из строя контроллера системы вентиляции,Аппаратный сбой,Средний
Атака на систему управления уличными светофорами,Нарушение безопасности,Высокий
Долгая загрузка AR-моделей в мобильном приложении,Ухудшение сервиса,Низкий
Не работает система сбора feedback от клиентов,Сбой приложения,Низкий
Перегрев точек доступа Wi-Fi в производственном цехе,Аппаратный сбой,Средний
Утечка данных о клиентской базе через уволенного сотрудника,Нарушение безопасности,Высокий
Не работает система управления цифровыми активами,Сбой приложения,Средний
Случайное удаление правил маршрутизации,Ухудшение сервиса,Высокий
Не загружаются пользовательские шрифты в веб-приложении,Сбой приложения,Низкий
Выход из строя системы контроля уровня электромагнитного излучения,Аппаратный сбой,Низкий
Обнаружение бэкдора в firmware сетевого коммутатора,Нарушение безопасности,Высокий
Зависание системы при обработке потокового видео,Ухудшение сервиса,Средний
Не работает система управления сертификатами SSL/TLS,Сбой приложения,Высокий
Отказ тестовой системы оповещения о чрезвычайных ситуациях,Аппаратный сбой,Низкий
Фишинг с целью получения доступа к системе управления идентификацией,Нарушение безопасности,Высокий
Не работает система расчета транспортных расходов,Сбой приложения,Средний
Потеря пакетов при передаче голоса в радиосвязи DMR,Ухудшение сервиса,Средний
Сбой в системе управления дизайном упаковки,Сбой приложения,Средний
Выход из строя модема для резервной линии xDSL,Аппаратный сбой,Средний
Несанкционированное изменение конфигурации виртуальной сети,Нарушение безопасности,Высокий
Не обновляется статус заказов в системе логистики,Ухудшение сервиса,Средний
Не работает система проверки орфографии в мессенджере,Сбой приложения,Низкий
Поддельные заявки на техническое обслуживание,Нарушение безопасности,Низкий
Задержка в получении данных с сейсмодатчиков,Ухудшение сервиса,Средний
Сбой в системе управления прокатом автомобилей,Сбой приложения,Средний
Выход из строя системы фоновой вентиляции в архиве,Аппаратный сбой,Низкий
Утечка шаблонов договоров через уязвимость в CRM,Нарушение безопасности,Средний
Не работает система управления отчетами о инцидентах,Сбой приложения,Средний
Зависание компьютера при подключении к VPN с определенной ОС,Ухудшение сервиса,Средний
Сбой в системе управления сетью ресторанов,Сбой приложения,Высокий
Отказ системы мониторинга качества воды в системе охлаждения,Аппаратный сбой,Средний
Атака на систему управления расписанием кинотеатра,Нарушение безопасности,Низкий
Не работает система расчета премий по проектам,Сбой приложения,Средний
Потеря связи с системой управления аквапоникой,Потеря связи,Средний
Сбой в работе системы управления волонтерами на мероприятиях,Сбой приложения,Низкий
Выход из строя ИБП для системы контроля доступа в ЦОД,Аппаратный сбой,Высокий
Утечка данных о внутренних расследованиях инсайдерских угроз,Нарушение безопасности,Высокий
Не работает система управления внутренними заказами,Сбой приложения,Низкий
Задержка в отображении данных в системе реального времени,Ухудшение сервиса,Высокий
Сбой в системе управления политиками доступа к облачным ресурсам,Сбой приложения,Высокий
Выход из строя системы очистки фильтров в системе кондиционирования,Аппаратный сбой,Средний
Обнаружение уязвимости в системе управления отзывами о продукте,Нарушение безопасности,Средний
Не работает система управления архивом чертежей,Сбой приложения,Средний
Случайное удаление пользовательских макросов в Excel,Ухудшение сервиса,Низкий
Не загружаются превью документов в системе электронного архива,Сбой приложения,Низкий
Отказ системы автоматической замены картриджа в ленточный накопитель,Аппаратный сбой,Средний
Компрометация аккаунта компании в Facebook,Нарушение безопасности,Средний
Не работает система управления портфелем недвижимости,Сбой приложения,Высокий
Потеря связи с системой управления рекламными щитами,Потеря связи,Средний
Сбой в системе управления метрополитеном,Сбой приложения,Высокий
Выход из строя системы сухих градирен,Аппаратный сбой,Высокий
Утечка данных о предстоящем IPO,Нарушение безопасности,Высокий
Не работает система управления знаниями о клиентах,Сбой приложения,Средний
Зависание системы при работе с графовыми базами данных,Ухудшение сервиса,Средний
Сбой в системе управления распределением персонала,Сбой приложения,Высокий
Отказ системы контроля уровня вибрации в серверной стойке,Аппаратный сбой,Низкий
Атака на систему управления медицинскими записями пациентов,Нарушение безопасности,Высокий
Не работает система учета рабочего времени сменных работников,Сбой приложения,Средний
Потеря связи с системой управления беспилотными летательными аппаратами,Потеря связи,Высокий
Сбой в системе управления мультимедиа в музее,Сбой приложения,Средний
Выход из строя системы охлаждения на жидкостном погружении,Аппаратный сбой,Высокий
Несанкционированный доступ к системе управления финансовыми транзакциями,Нарушение безопасности,Высокий
Не работает система управления библиотекой документации,Сбой приложения,Низкий
Задержка в обработке данных с платежных терминалов,Ухудшение сервиса,Высокий
Сбой в системе управления SMS-рассылками,Сбой приложения,Средний
Выход из строя системы контроля доступа по распознаванию лица,Аппаратный сбой,Средний
Утечка данных о планах реорганизации,Нарушение безопасности,Высокий
Не работает система управления стейкхолдерами ИТ-проектов,Сбой приложения,Низкий
Случайное изменение настроек прокси-сервера,Ухудшение сервиса,Средний
Не загружаются расширения в браузере для корпоративного портала,Сбой приложения,Низкий
Отказ датчика уровня масла в компрессоре системы кондиционирования,Аппаратный сбой,Средний
Фишинг с использованием поддельных форм входа в облачные сервисы,Нарушение безопасности,Высокий
Не работает система управления инновациями в продукте,Сбой приложения,Низкий
Потеря связи с системой управления шлюзами на стадионе,Потеря связи,Средний
Сбой в системе управления телеметрией спортивных автомобилей,Сбой приложения,Высокий
Выход из строя системы аварийной вентиляции в тоннеле,Аппаратный сбой,Высокий
Утечка данных пользователей через уязвимость в API партнера,Нарушение безопасности,Высокий
Не работает система управления корпоративной социальной ответственностью,Сбой приложения,Низкий
Зависание системы при обработке потоков данных IoT,Ухудшение сервиса,Высокий
Потеря данных в пакетах во время передачи с сенсоров вибрации техники,Ухудшение сервиса,Средний
Отказ в платформе для координации стажировок,Сбой приложения,Низкий
